,chapter,lemma,grammar,word_th_trans_en,freq,loan,hg_context
9306,П,пульт,N,пульт,1,True,False
9307,П,пульс,N,пульс,7,True,False
9308,П,пульмонология,N,пульмонология,1,True,False
9309,П,пульзямс,"V, intr",сильно устать,18,False,False
9310,П,пульверизатор,N,пульверизатор,2,True,False
9311,П,пуль,N,пыль,22,False,False
9312,П,пулфкя,"N, dim",снопик,1,False,False
9313,П,пулф,N,сноп,30,False,False
9314,П,пула,"N, PN, famn",хвост,1,False,False
9315,П,пуля,N,пуля,18,True,False
9316,П,Пулов,N,Пулов,1,True,False
9317,П,пулиямс,"V, intr",запылиться,2,False,False
9318,П,пулендамс,"V, intr",пылить,1,False,False
9319,П,пулофтома,"V, tr",хвост,1,False,False
9320,П,пулодомс,N,срастить; связать в снопы,1,False,False
9321,П,пула,A,бесхвостый,1,False,False
9322,П,пулодомс,"V, tr",хвост,1,False,False
9323,П,пула,N,срастить; связать в снопы,1,False,False
9325,П,пукшу,A,мускулистый,2,False,False
9326,П,пукша,"N, body",мышца; мясо без костей,15,False,False
9327,П,пузырь,N,стекло,1,False,False
9328,П,Пулов,"N, PN, famn",Пулов,1,True,False
9329,П,пункс,N,застегнуть,1,False,False
9330,П,пункстамс,"V, tr",застёжка,1,False,False
9333,П,пуромкс,"N, anim","собрание, митинг",150,False,False
9334,П,пуром,N,овод,150,False,False
9336,П,Пуркаева,"N, PN, famn",Пуркаева,1,True,False
9337,П,пуре,N,медовый квас,26,False,False
9338,П,Пургинепаз,"N, PN, persn",Пургинепаз,4,True,False
9339,П,Пургаз,"N, PN, persn",Пургаз,7,True,False
9341,П,пур,N,мел,2,False,False
9342,П,пуронь,N,мел,1,False,False
9343,П,пур,A,известковый,1,False,False
9344,П,пурдамс,"V, tr",повернуть; отжать,1,False,False
9347,П,пупстадемс,"V, tr",клюнуть,3,False,False
9348,П,пупордамс,"V, intr",споткнуться,18,False,False
9349,П,пупамс,"V, tr",ужалить,35,False,False
9351,П,пупай,N,колики,3,False,False
9352,П,пуняня,"N, dim",пуговичка,4,False,False
9353,П,пуня,N,пуговица,13,False,False
9354,П,пункция,N,пункция,1,True,False
9355,П,пунктуация,N,пунктуация,1,True,False
9356,П,пункт,N,пункт,175,True,False
9357,П,пушка,N,пушка,17,True,False
9358,П,Пушкин,"N, PN, famn",Пушкин,51,True,False
9359,П,пушта,N,жарить,1,False,False
9360,П,пуштомс,"V, tr",пыж,1,False,False
9361,П,пянгодемс,"V, tr","рушить, обдирать",3,False,False
9362,П,пянакудня,"N, dim",русская печка,3,False,False
9363,П,пянакуд,N,русская печь,169,False,False
9364,П,пяляскодомс,"V, intr",взбеситься,8,False,False
9365,П,пялязкс,ADV,сумасшедший,1,False,False
9366,П,пяляз,A,"буйно, неистово",1,False,False
9368,П,пяльхкя,"N, body",большой палец руки,12,False,False
9369,П,пяльняня,"N, dim",младший братик,1,False,False
9370,П,пяльня,"N, dim",половинка; младший брат,3,False,False
9371,П,пялькстомс,"V, intr",соревноваться,698,False,False
9372,П,пяндоргодомс,"V, intr","стать грязным, мутным",1,False,False
9373,П,пяльксонь-пялькс,ADV,"половинками, частями",3,False,False
9375,П,пялькс,N,половинка,6,False,False
9376,П,пялькскя,"N, dim",половинка,1,False,False
9379,П,пяльдемс,"V, tr","сучить, скрутить в одну нить",6,False,False
9381,П,пяльде,POST,"от, из, у, с",39,False,False
9382,П,пяль,N,половина,13,False,False
9383,П,пяльге,"V, tr",продырявить,2,False,False
9384,П,пяль,POST,половина,2,False,False
9386,П,пяряв,A,глухой,7,False,False
9387,П,пярявгодомс,"V, intr",оглохнуть,3,False,False
9388,П,пяряка,N,пирог,65,False,False
9389,П,Пётр,"N, PN, persn",Пётр,474,True,False
9390,П,пяяремс,"V, intr",разлиться,43,False,False
9391,П,пяярдемс,"V, tr",вылить,35,False,False
9392,П,пяштеня,"N, dim",орешек,1,False,False
9394,П,пяштень,A,ореховый,2,False,False
9395,П,пяштень,N,ореховый,3,False,False
9396,П,пяште,A,орех,3,False,False
9397,П,пяште,N,орех,10,False,False
9398,П,пяшксе,A,полный,104,False,False
9399,П,пяшксе,N,полный,1,False,False
9400,П,пяшкс,A,липа,1,False,False
9401,П,пяшкодемс,"V, tr",наполнить,1183,False,False
9402,П,пяшень,N,липовый,4,False,False
9403,П,пяше,A,липа,4,False,False
9404,П,пяше,N,липа,20,False,False
9405,П,пяцёнка,N,печёная картошка,2,False,False
9406,П,пяцькамс,"V, tr",испачкать,6,False,False
9407,П,пятру,"N, PN",Петров день,9,False,True
9408,П,пятница,"N, time_meas",пятница,1,True,False
9409,П,пятна,N,пятно,25,False,False
